feature,importance
read,3.7115092582181015
video,3.7047997341498697
image,3.513551785788608
president trump,3.137891408816066
featured image,3.0889050805647034
breaking,3.0594081320786937
featured,2.8723467889151255
gop,2.7127118149695217
hillary,2.6117920981105933
mr,2.266981105678615
wire,2.2193182135008063
watch,2.155951438053185
sen,2.132123078380238
getty,2.127848087921965
rep,1.9826843704592734
getty image,1.957670722613475
obama,1.8631611206968297
president obama,1.852259379699455
com,1.8028836662670058
america,1.8016175083760957
gov,1.6743193166217096
reportedly,1.644864200302282
entire,1.6078142308204975
american,1.5383672416719376
daily,1.4965743377045941
isi,1.4506262999541095
breitbart,1.4251540916256338
flickr,1.4004390533698399
news,1.4001454898630634
pic,1.3859567942463353
century wire,1.3672654595504918
http,1.3626515948750395
taxpayer,1.357584760994058
terror,1.3516998696470455
morning,1.3311481842697483
wfb,1.3238360936116078
entire story,1.3003359747431045
liberal,1.2971481366286879
mail,1.2964316436609447
reason,1.2894988326502272
ap,1.2869575972410385
nyp,1.2855107458141561
twitter com,1.2819480647267485
pic twitter,1.2457022069512207
today,1.2238006216828128
like,1.2143251964665223
daily mail,1.183252562544184
money,1.1749705355521038
report,1.1694444910010018
st century,1.1463145880563754
actually,1.1386487348324186
illegals,1.1248709136009223
claimed,1.1141317195810887
recently,1.0967332740776445
huge,1.0942419017156086
image flickr,1.093679990178881
controversial,1.07235940952073
come,1.0564713183643328
radical,1.0462288074772181
daily caller,1.04567944237138
know,1.0355965831037712
doj,1.0014345448427018
revealed,0.998460437734622
photo,0.9832996462690597
illegal alien,0.9788217050850213
dc,0.9727885695617535
threat,0.9703378283109994
apparently,0.9677542438843617
sharia,0.964769059322709
hill,0.9629527840328554
terrorist,0.9504718665565896
time,0.9502744754007508
way,0.9443414913905984
appears,0.9427094531268577
really,0.939138486250795
mohamed,0.9383526420755467
fact,0.9360032744973046
wow,0.9296999250450907
thing,0.9262970821716886
claim,0.9222329851342679
racist,0.9164908211471915
citizen,0.916417302604124
course,0.9044683558936873
story,0.9025474093495294
went,0.9011746060298247
according,0.8932971371950063
fox,0.892213582917215
afp,0.8874315644701923
breitbart news,0.8820054531903002
said read,0.8758853501160403
shocking,0.8651138036730724
yesterday,0.8525085094566106
washington post,0.843654397119021
health care,0.8408686663773756
john,0.8396527973892176
allegedly,0.8378615689477126
press conference,0.835679809923908
tell,0.8327024899904616
supposed,0.8325095130161366
cop,0.830583488630389
truth,0.8303479497676477
leftist,0.8283424789705726
believe,0.8246724679579118
destroy,0.8205276299611038
remember,0.8190663527013158
let,0.81837454706641
news st,0.8126064730306468
explained,0.8080427405802492
nation,0.801996069293333
alien,0.8016869483340382
fast track,0.7892548167582162
wonder,0.788025141268744
stand,0.7837553957066458
basically,0.7820475841075556
voted,0.7812088941856843
cnn,0.780815239096754
ny,0.7765462426443711
involved,0.7627194043322385
regarding,0.7619943271350794
dollar,0.7563720323520766
regime,0.7552035389948693
open border,0.7513585840188711
massive,0.7506739835063825
obvious,0.7486809196703539
examiner,0.7473100898343706
make,0.7465907851574346
reid,0.7454476463883738
nuclear warhead,0.7436421352251316
currently,0.7431269417222388
sheriff,0.7422211527000113
continues,0.7409056984226491
dr,0.7382157870141275
st,0.7375420203222852
democrat party,0.7344387090435892
outrageous,0.7304836605035939
stated,0.7299628999326772
probably,0.7290537693352226
guy,0.7288686637663346
word,0.7277636604417488
hostile,0.7245339690543982
gen,0.7231783270111942
ginsburg,0.721312850592134
big,0.7195004221239644
life,0.7187246400626056
finally,0.7176220452431208
politico,0.7164605658509162
washington examiner,0.7164220492857711
pretty,0.7125852327841237
night,0.7112316539640686
clinton foundation,0.7106979437382244
harris,0.7093178506547926
soros,0.709190580111281
press,0.7066951318286476
announced,0.7035383429055128
muslim,0.6946700195899616
mateen,0.6936660383594789
awesome,0.6929223085518492
crazy,0.691199725175972
republican party,0.6891778697759606
tier,0.6844536277346294
brown,0.6838502591843298
video president,0.6836577475427783
yahoo,0.6812261554809566
refused,0.680983857821465
hate,0.6792127797826564
blow,0.6775189980571061
explains,0.6764195078644225
criminal,0.6762242436488409
wire tv,0.6754443606669086
dnc,0.6753184082461143
historic,0.675257268584286
member wire,0.6739865519024999
exactly,0.6737689733798911
pundit,0.6690824246585316
girl,0.6682760267879774
warhead,0.6675799775773099
filessupport,0.6668930807193754
hell,0.6658252176364616
trump realdonaldtrump,0.6640776442048204
nyc,0.663158350828941
mark,0.660261394364586
charlie,0.6591560477219046
bernie,0.6590567045464811
officer,0.6573555633425703
thanks,0.6554829543511705
sanchez,0.6539494721350891
caller,0.653303738839768
veteran,0.6527318919565048
worse,0.6516370034226141
happened,0.6510969188184942
youngblood,0.6503052280525257
obligation,0.6501493376508569
chip,0.6499971069319378
read daily,0.6487149190120742
irs,0.6484346716096533
conn,0.6483750186338206
forced,0.6459489516237967
sachs,0.6428092324578678
given,0.6395956607136464
matter,0.6280725564030198
steve,0.6230048248081967
legally,0.6227069825776238
obamacare,0.6221339652252527
oops,0.621745901743869
gateway pundit,0.6214656085544447
likely,0.6207913106807202
continued,0.6207636731130091
ii,0.6195767514169187
illegal,0.6187813165484541
yr,0.6186244722169295
ca,0.6147203069714506
boehner,0.6137280617926378
literally,0.609275530670219
training exercise,0.6053146006020201
new year,0.6041770518450358
begin,0.6025436911945651
going,0.6020678739414892
sure,0.6016892932267791
prevented,0.601175289503437
kid,0.6002609317703302
throw,0.5992191251167184
lol,0.5990327482941943
record,0.5985428428436361
poll trump,0.5945127518839459
massachusetts,0.5933433884258966
simply,0.5927779403959298
john kerry,0.5925690223822181
surprising,0.5920461041602801
read wfb,0.5881455920439908
cameron,0.5881140038396363
noted,0.5847997073582492
capable carrying,0.5834734321086027
multiple,0.5832547129241947
wire say,0.583008510442702
refugee,0.5814175006309971
city council,0.5811053621366018
fast,0.5810664402609415
park,0.5808364469663783
rino,0.5806163500444893
announces,0.580543495114043
certainly,0.5798894692707535
got,0.5792086920424316
disability,0.57765082491409
wikileaks,0.5772813142521502
sick,0.5770117340677777
orb,0.5763388200144858
spoke,0.5761066056647962
th,0.575000821202538
hostage,0.574837324343845
welfare,0.5747692127132213
listen,0.5747547013249003
paid,0.5744966306629344
point,0.5742407658466246
appointed judge,0.5731070196537871
victim,0.5713005986867035
gonna,0.5707155189267301
telling,0.5682370318653731
tribune,0.5678486243753798
unreal,0.5675687535236438
removed,0.5672980001772608
flag,0.5656982295738829
ford,0.5651816683464059
free,0.5650286637887658
screen capture,0.5642563817041957
stunning,0.5638974673817102
mi,0.5630143426677067
sgt,0.5628289045137271
yr old,0.5600048985468221
fbi,0.5596685144006935
allowed,0.5590409281823583
screen,0.5586858514776811
usa today,0.5575931513176908
leaking,0.5570713275784708
jeff,0.5560744503622563
gateway,0.5537500241444063
beef,0.5530026082319442
pool,0.5524180110686031
insisted,0.5501656719074995
trying,0.5491178903722584
lie,0.5489198347085372
exposure,0.5476095717933687
refusing,0.5472231663107046
bernie sander,0.5453757265543551
mainstream medium,0.5452990448010221
bolton,0.5449564124663312
york time,0.5446497340054189
lgbt,0.5440419023338885
sick leave,0.5429264623728797
embassy,0.5425619931822732
possession,0.5399424442968715
yale,0.5390797946163461
amnesty,0.5364691632053131
decision,0.534559953963818
window,0.5337159598116024
oh,0.533483913606842
washington time,0.5330191972837567
guess,0.5307170830073727
migrant,0.5300445248088637
completely,0.5299029524620569
graham,0.5295132368701141
matthew,0.5288137039549679
invasion,0.5264193226689778
offended,0.5259817064870815
screening,0.5248222368150116
document,0.5247598288573786
cbs,0.5236703687519433
kcna,0.5235758610906345
wednesday night,0.5232555096406913
nyt,0.5224192286660962
rt,0.5219649699221494
host,0.5207465547276794
employee,0.5201462519593513
yes,0.5190924790871655
water,0.5189737765900488
christian,0.5183710034792126
mcgurk,0.5174172504480902
file,0.516643899494583
global warming,0.5164813861750618
federal government,0.5155732441434899
terror group,0.5154171473105854
writes,0.5148083717399956
nonsense,0.5147601604393616
tpp,0.5147559252029358
socialist,0.5130641643980591
korea north,0.512104026267815
screwed,0.5114956440879309
hutchins,0.5114550987645485
obama meet,0.5099385874106009
breaking news,0.5094415166935327
idea,0.5093087498649749
stating,0.5090618621171338
tip,0.5083246377850806
paper,0.5082600752915081
live,0.5081629837853187
destroying,0.5076087339038465
dictator,0.5068955078920322
giving,0.5067113999959291
bad,0.5066668567121907
george soros,0.5065588876309954
thug,0.5059632480768468
discrimination,0.5053460472275167
terror attack,0.5052844286814443
pelosi,0.5051447780126396
reuters report,0.5039821738189041
hollywood,0.5038424327283043
pentagon,0.5035970608270746
possibly,0.5035952882932919
pro,0.5030466474748643
obama administration,0.5028506567038324
according new,0.5022958659987186
boom,0.5022635039811424
lawless,0.5010033808963467
result,0.5009355693853118
away,0.5007642343857517
obtained,0.5007456708747147
fifth circuit,0.5006803897503871
va,0.4995461562947837
expose,0.4980049671898211
source,0.49700657682572
evil,0.49521366576305564
wt,0.49505083060600846
donated,0.4931070619259499
naacp,0.49202128491017055
mcdonough,0.4915989100292093
altitude,0.48997261605945946
xu ting,0.4897593774776227
paul,0.48958664050206746
insane,0.48910523921307336
old,0.4887560661489909
note,0.4884835450726274
choose,0.4873230969520246
post,0.4872730520141635
schumer,0.4864536995623474
la,0.48612036097554334
sound,0.48467402357811584
exception,0.4843941408612965
subscribing,0.4843602655028169
fundraiser,0.4827219268628403
million dollar,0.48219216493768763
usa,0.48208803420817387
imagine,0.4818980910193013
capture,0.4815640789581352
baby,0.48143577090851825
people dead,0.4805255146943431
airstrikes,0.48019493674232094
noncitizen,0.479274125823003
lt,0.47784807281645464
barron,0.47733642061163406
detroit,0.47671027069515926
sit,0.47584625339800585
ed,0.47507473542763706
specifically,0.4744142219839926
reaching,0.47385409495126596
recipient,0.4733481936835341
highly,0.4732379914823067
read hill,0.47306650842010384
state government,0.47302106283684064
county sheriff,0.47179640185780164
state group,0.47117639905320624
turn,0.4709045887339941
lefty,0.4704537373932412
ticket,0.46986565898350063
memorandum,0.46975211545684026
moral,0.4696324038404134
marine,0.46904405520875875
carrying nuclear,0.46871601192362017
theory,0.4687125671997575
threatening,0.4686699191861683
combined,0.4679608766566006
taken,0.4677938898623843
wi,0.46768806827640186
narrative,0.4674337348533737
actual,0.46728624331095214
obama appointed,0.4671432681997061
baltimore,0.4667262470944749
mall,0.46577679098144453
lifeline,0.46572037639404346
police station,0.464102516355128
agree,0.4636398815480199
train,0.4633872341546554
herald,0.4630413915583577
breaking obama,0.46217823289379706
executive action,0.4619722590305886
andwhereas,0.4612016551389115
room,0.46095992952435694
look like,0.4604470985874996
campus,0.4595337626778565
southern border,0.4595078607490881
muslim ban,0.4594289983510592
barbara,0.45902129264800656
devastating,0.45890809539513405
hammonds,0.4581595989141103
belief,0.45742458601279296
whopping,0.4569126673398002
kcna said,0.4560387801363337
bail,0.4546407619919052
paxton,0.45415137007997125
nascar,0.45310558673962775
associated,0.45300928881517066
progressive,0.45237628635577587
ignore,0.4521372649265525
amendment,0.45166949070442436
coming,0.45117989030826
nightmare,0.45077359049586624
feminist,0.4505384044793942
left,0.44981727718960873
attempting,0.4493593253553026
obama regime,0.4493164450797797
admitted,0.4492542017875117
gop presidential,0.4492406394882427
iceland,0.4492171941993952
doctor,0.4491955233195393
funny,0.44901253108985395
free beacon,0.44890045992532096
minority leader,0.44880640104337693
insider,0.4486246235941533
wanted,0.4483408918163679
work subscribing,0.4480480906175343
dunham,0.4479148375829163
david,0.4478692241281031
news service,0.44744065136812244
teen,0.44662653720510453
trump foreign,0.4465328233090371
subscribing member,0.44644414198372767
starbucks,0.44596459724799264
arizona,0.445737832506221
threatens,0.4456340244210631
bloomberg,0.44530056870430573
gross,0.4451212271906229
epa,0.44449889485205374
dramatically,0.4435736281792371
violation,0.4434346611394517
osf,0.4428907592141602
filessupport work,0.4416991447272978
refuse,0.44150048432905065
community,0.44079455638104864
provided,0.440300214703231
tied,0.4401495119469394
racism,0.43982288526622526
warns,0.4394490997318616
niro,0.4394325134954548
high speed,0.43928166468615326
lady melania,0.4392350272407815
warming,0.4390044414404327
morning joe,0.43854996131664076
mean,0.4380614708805091
weasel,0.43791245123042494
swamp,0.43787399248550074
express,0.437836383613434
learned,0.43776807208358764
clock,0.4374424173188619
state department,0.43723946942785824
paddock,0.43698305265155035
collier,0.43697752938416173
student,0.43681830441574604
washington dc,0.4365468015289022
pin,0.4363928423202443
react,0.43556301598305797
female,0.435443122522563
jared,0.43542585701689934
hey,0.4336693555492001
wikimedia,0.43306388333170154
outrage,0.4327168684440573
capable,0.43264962526405165
reported,0.43244845295933504
cuomo,0.4320273792053241
new poll,0.431553378169244
look,0.4313361760424218
dropping,0.43078346394449285
anderson,0.43050686649624725
army chief,0.430334928028214
benefit,0.4292545184212315
wong getty,0.4280444513834058
exist,0.42782400010963495
caught,0.42760718657365604
ginsburg said,0.42744475045608665
