feature,importance
reuters,0.25207287
breitbart,0.029944465
news st,0.021741135
featured image,0.018802032
getty image,0.018734775
century wire,0.017032927
minister,0.01468775
video,0.013997402
image,0.011400645
getty,0.010336864
wire,0.009802065
washington reuters,0.008203063
york reuters,0.008135221
said,0.006623519
illegal alien,0.006272488
medical,0.006210751
mainstream medium,0.006203671
com,0.0056422353
factbox,0.0054882416
busted,0.005469099
truth,0.005444544
pic,0.0053237663
policy obama,0.00529471
illegals,0.00517886
fact,0.005125703
read,0.0050591268
pic twitter,0.005024516
entire story,0.0049067647
reuters phone,0.004868094
zero hedge,0.004770945
executive action,0.0047515403
michael brown,0.004536695
demographic,0.0045205825
reuters report,0.004510129
farce,0.0044651977
labor,0.0044171093
american diplomat,0.0044167605
news agency,0.0043828534
earnest,0.004364424
assessment,0.0042286916
inciting,0.004211803
life sentence,0.004125836
wire say,0.004071592
alien,0.004064529
newly,0.003934893
said decision,0.003925549
said reuters,0.003758727
fed,0.0037244924
new report,0.0036319299
told reuters,0.0036290265
saw trump,0.003614119
institute,0.0036017993
hit,0.0035876795
reuters reported,0.0035766705
according reuters,0.0035285193
highest,0.0034591903
protestors,0.003396639
cbs,0.0032775474
ipsos,0.003251316
announces,0.0032080316
spokesman said,0.0031755625
kcna,0.003175498
learned,0.0030799243
exactly,0.0030429643
earth,0.003014579
featured,0.0029799885
catholic,0.0028889563
program,0.0028156524
twitter com,0.0027768796
seven,0.0027513008
sure,0.0026938126
nov election,0.0026786814
constituent,0.0026387186
breaking,0.0026153957
said men,0.0025523663
advocating,0.0024840992
human,0.0024378328
hillary,0.0024289642
remember,0.00239658
treaty,0.002368936
km,0.0023379768
said united,0.0022959837
estimated,0.0022421442
hillary clinton,0.0021703306
prime minister,0.0021648444
president obama,0.0019979163
strike,0.0019551045
obama,0.0019507362
force,0.00190017
single,0.0018354894
reporter,0.0018280846
sought,0.0018177069
traditionally,0.0018034064
equity,0.0018020024
nov presidential,0.0018005358
nov,0.0017696285
operation,0.0017637357
taxpayer,0.0017634368
fox,0.0017600461
reached,0.0017599955
obama administration,0.0017502216
point,0.0017316289
act,0.0017282213
nomination,0.0016981297
mark,0.0016904182
option,0.0016814624
gop,0.00167542
nearly million,0.0016747321
asia,0.0016625013
real estate,0.001631631
summer,0.0016270244
state union,0.0016222575
revealed,0.0016100564
differently,0.0016094821
muslim entering,0.001602765
message,0.0015970428
territory,0.001594042
immediate,0.0015919708
presidential runner,0.0015854853
abnormality,0.0015821732
party nominee,0.0015771528
million dollar,0.0015492436
saw,0.0015225612
scientist,0.0015198105
parliament,0.0015038319
said david,0.0014879592
january trump,0.0014862551
nominating,0.0014679047
puerto rico,0.0014599331
engage,0.0014511035
private,0.0014425314
economic growth,0.0014403841
important question,0.0014316879
adopted,0.001412139
wage,0.0014009438
threat,0.0013801045
economic,0.0013767157
senator ted,0.0013350998
trump presidential,0.0013163012
wisconsin,0.001309441
market,0.0013078474
reuters president,0.0012891322
wire fraud,0.0012771533
expand,0.0012750016
gas,0.0012663801
fiscal,0.0012614194
commentary,0.0012493014
st,0.0012304342
contest,0.0012281884
leader kim,0.0012274912
investment,0.0012033604
america,0.0012012897
win white,0.0011965713
american,0.001192835
flight,0.0011911524
budget,0.0011901425
republican presidential,0.0011787104
independence,0.0011625086
offset,0.0011603335
region,0.0011597194
presumptive,0.0011559441
pyongyang,0.0011469321
john,0.0011417395
fund,0.0011404268
make safer,0.0011276192
say likely,0.0011212638
pas,0.0011063216
barack,0.001105422
believed,0.0011006935
sander senator,0.0010947867
history,0.0010946956
said regretted,0.0010930335
entering,0.0010925987
attorney,0.0010917109
president trump,0.0010871473
unveils,0.0010857285
senate confirmation,0.001085702
debt,0.001084138
property,0.0010802889
split,0.0010775487
jared,0.001070277
fence,0.0010660982
news,0.0010554775
momentum,0.0010537959
nominee republican,0.001047869
korean,0.001043466
morning,0.001036742
gdp,0.0010270299
atomic,0.001025755
unclear,0.0010243603
new deal,0.0010235435
bn,0.0010205351
rift,0.0010152557
saturday,0.0010151498
cnn state,0.0010115899
like,0.0010026719
small,0.0009894988
really,0.0009840301
face tough,0.0009815731
release,0.0009780144
far largest,0.0009779605
economy,0.00097487785
borrowing,0.0009735776
scorched,0.00097190414
primary campaign,0.0009617436
north,0.0009612106
position,0.00095961854
important,0.0009571144
ruling,0.0009550359
thing,0.00095481175
trump divisive,0.00095088576
discussed,0.00094837055
understanding,0.0009396818
met,0.00093347445
dead,0.00092710345
central,0.00092627824
said expected,0.0009214601
know,0.0009121409
non,0.0009090433
final,0.0009067036
initiative,0.0009004255
cia,0.0008978462
black,0.00089537137
achieve,0.0008920481
income,0.00088183593
new political,0.000880818
donald,0.00085893914
executive,0.00083920825
look,0.0008215671
published,0.00081941154
armed,0.0008168464
domestic,0.00081496197
account,0.0008108193
april,0.0008101997
expected,0.0008049805
catalonia,0.0007984978
party,0.00079843117
involved,0.0007858632
reported,0.0007806537
spent,0.00077538734
barack obama,0.0007691455
effort,0.000768629
given,0.0007638648
way,0.000761555
represents,0.00075979356
actually,0.0007573613
wednesday,0.0007445199
today,0.0007434518
environmental protection,0.0007396215
showing,0.0007332374
russian,0.0007321797
measure,0.0007314956
department,0.0007272011
took,0.0007239688
word,0.00072063965
military,0.00072053197
political,0.0007142292
report,0.0007112261
seek,0.0007046194
nominee,0.00070095685
health,0.000696655
level,0.00069171545
current,0.00069042796
life,0.00068527774
human right,0.00068319775
planned,0.0006807364
going,0.0006802535
annual,0.00067633257
dollar,0.0006702192
vote,0.0006684789
little,0.00066126377
proposal,0.0006517006
showed,0.00064911594
long,0.000644563
migrant,0.0006386724
clinton,0.0006378425
similar,0.00063775113
terrorist,0.0006335667
support,0.0006307247
reality,0.0006300897
opposition,0.00062368443
money,0.00062059524
hope,0.00062054227
el,0.00061527337
agency,0.0006137847
advocate,0.0006135856
problem,0.0006126408
donald trump,0.0006090118
war,0.0006082877
white,0.00060605217
allowing,0.000600423
twitter,0.00059880334
use,0.0005975664
provide,0.000592989
passed,0.0005831102
appears,0.000576873
news conference,0.00057345163
president barack,0.00057226926
medium,0.0005716606
close,0.00056328555
president donald,0.0005619279
think,0.0005619219
percent,0.0005592169
intelligence,0.0005584192
lawmaker,0.00055621145
nuclear,0.000546332
photo,0.00054206565
following,0.0005338319
posted,0.0005319234
taking,0.0005308391
july,0.00052718126
presidential election,0.00052269245
